monthyr,name,session,users,pageviews,streaming event
DEC2014,KIOS,23799,16063,36250,0.248161687
DEC2014,WTEB,23614,19354,31953,0.075167274
DEC2014,WKMS,23260,17516,43927,0.061736887
DEC2014,WUWF,22799,16960,35303,0.118821001
DEC2014,WUKY,22258,16420,32380,0.10513074
DEC2014,KTEP,21819,18498,27954,0.056556212
DEC2014,WEKU,21765,15429,32048,0.145922352
DEC2014,Tri States Public Radio,21546,17309,36628,0.033231226
DEC2014,KSUT Four Corners,21171,14534,29303,0.199140333
DEC2014,WNMU,20999,16581,31383,0.029858565
DEC2014,WUTC,20859,15902,27220,0.12795436
DEC2014,White Pine Community Broadcasting,20667,16721,32846,0.052160449
DEC2014,WCBU peoria public radio,20663,16380,30519,0.045153172
DEC2014,WQCS FM,20205,15196,26160,0.139717892
DEC2014,WAER Syracuse Public Media,19360,15252,29839,0.07732438
DEC2014,KPCW 91.9FM,19349,13769,32056,0.158302755
DEC2014,Delmarva Public Radio,19158,15850,26424,0.05840902
DEC2014,KDLG,18756,11115,40388,0.023672425
DEC2014,KTTZ,18576,15030,26300,0.013512059
DEC2014,Red River Radio KDAQ,18568,14129,28267,0.119237398
DEC2014,WVIA,18479,11870,40835,0
DEC2014,PECONIC PUBLIC BROADCASTING,18444,14988,25955,0.075905444
DEC2014,WGLT,18168,10190,35648,0
DEC2014,KNBA KBC,17572,13793,23933,0.077338948
DEC2014,WHQR,17284,11532,34296,0.226162925
DEC2014,KAWC,16636,14056,18798,0.036727579
DEC2014,KENW,16155,13748,21877,0.000928505
DEC2014,WMOT,15660,13358,19710,0.030332056
DEC2014,WVAS,15338,12631,17817,0.038010171
DEC2014,WGTE Public Media,14937,9464,39543,0
DEC2014,WMKY,14768,12853,18904,0.019027627
DEC2014,South Carolina ETV Radio,14465,8370,32224,0.3878327
DEC2014,KOSU,14461,9854,22976,0.290228892
DEC2014,WYSU,14437,10712,19473,0
DEC2014,KAZU,14424,8062,26819,0.172559623
DEC2014,KACU,14408,12034,16128,0.045252637
DEC2014,WESM,14211,12183,16665,0.037224685
DEC2014,KUNR Reno Public Radio,14165,9632,24112,0.241157783
DEC2014,88.1 WVPE,14164,10132,22583,0.266238351
DEC2014,WMUK,14160,10893,25527,0.133403955
DEC2014,KAJX,14085,11261,22225,0.064039759
DEC2014,WCSU,13949,11276,18162,0.017922432
DEC2014,NIPR Northeast Indiana Public Radio,13750,10268,24455,0.167490909
DEC2014,KSJD,13578,10677,16686,0.029238474
DEC2014,KCCU,13567,11570,15207,0.028893639
DEC2014,KASU,13490,11306,15952,0.063083766
DEC2014,Utah Public Radio,13067,9961,24875,0.079742864
DEC2014,KUAF 91.3 FM Fayetteville,12184,7223,21932,0.258043336
DEC2014,WPRL,11968,10559,12656,0.015959225
DEC2014,WRKF,11837,7386,22608,0.305144885
DEC2014,KPBX,11362,5776,25869,0.309980637
DEC2014,WJSU,11354,9808,12223,0.01409195
DEC2014,WKU Public Radio,10757,7988,18567,0.147438877
DEC2014,High Plains Public Radio,10694,7852,21643,0.136151113
DEC2014,KUSP,8204,4525,13591,0.004509995
DEC2014,WNTI,7787,3992,18444,0.371259792
DEC2014,WFIT,7779,5158,16136,0.256331148
DEC2014,WUCF-FM,7700,5500,12047,0
DEC2014,KWIT,7177,6318,9977,0.075240351
DEC2014,WSIU Public Braodcasting,7067,5922,12865,0.01485779
DEC2014,KRCU,6733,5718,11452,0.05792366
DEC2014,KWBU,6403,5413,10562,0.032016242
DEC2014,KBBI,6085,4726,12741,0
DEC2014,Digital Services,6050,4444,13508,0.014049587
DEC2014,WVIK,5880,4364,11999,0.168197279
DEC2014,KSFR,5539,3441,12470,0.272251309
DEC2014,KRCB,5513,4298,11880,0.066751315
DEC2014,WMNF Tampa,5171,2905,6729,0
DEC2014,KUAC,5015,4234,8919,0.015952144
DEC2014,Georgia Public Broadcasting,4653,3466,11708,0
DEC2014,Northstate Public Radio,4411,2286,8289,0.416685559
DEC2014,KCND,2931,2544,4148,0.004776527
DEC2014,WYEP,1803,1571,3358,0
DEC2014,WTMD,1800,1521,3944,0
DEC2014,WGVU,1614,1430,4053,0
DEC2014,North Country Public Radio,1456,1364,1885,0
DEC2014,WDET,1455,1297,5289,0.000687285
DEC2014,WNIN,1155,795,2211,0.018181818
DEC2014,KAMU,915,742,2479,0.110382514
DEC2014,PRNDI - NON STATION,657,524,1587,0
DEC2014,WAPS,535,502,768,0
DEC2014,WICN,241,211,601,0
DEC2014,WOUB,222,142,730,0
DEC2014,KVCR,181,89,2132,0.066298343
DEC2014,Mississippi Public Broadcasting,176,140,204,0
DEC2014,KEDM,42,12,519,0.023809524
DEC2014,KDFC,37,32,57,0
DEC2014,88Nine RadioMilwaukee,19,19,22,0
DEC2014,89.9 WWNO ‰ÛÓ New Orleans Public Radio,10,1,11,1
DEC2014,Classical KING FM,7,6,9,0
DEC2014,WYPR -Your Public Radio,7,5,6,0
