Month,Year,monthyr,Custom Variable (Value 06),Sessions,Users,Pageviews,Story Visits (Goal 6 Conversion Rate),Streaming Visits (Goal 1 Conversion Rate),Streaming Event (Goal 11 Conversion Rate)
Nov,2015,Nov2015,WVTF & RADIO IQ,52337,27541,91571,0.403481285,0.119112674,0.304793932
Nov,2015,Nov2015,Jefferson Public Radio,52280,22701,109708,0.353423871,0.082746748,0.260673298
Nov,2015,Nov2015,Boise State Public Radio,50032,31858,84430,0.602194595,0.264090982,0.210964982
Nov,2015,Nov2015,Wyoming Public Media,49181,32480,73766,0.635468982,8.13E-05,0.194099347
Nov,2015,Nov2015,WMFE,47767,27501,78401,0,8.37E-05,0.166349153
Nov,2015,Nov2015,WFYI,47099,42240,59024,0.976305229,0,0
Nov,2015,Nov2015,KMUW,45958,30421,76038,0.650267636,0.235149484,0.011010053
Nov,2015,Nov2015,WKAR,45502,29854,99512,0.504681113,0.026438398,0.165685025
Nov,2015,Nov2015,WMHT,43985,28560,79533,0.037717404,0.12238263,0
Nov,2015,Nov2015,South Dakota Public Broadcasting,42661,30494,123410,0.305548393,0.05388997,0.049037763
Nov,2015,Nov2015,New England Public Radio,42245,28321,70615,0.514617114,0.301148065,0.000402414
Nov,2015,Nov2015,Illinois Public Media,40762,20400,78271,0.195108189,0.158947059,0
Nov,2015,Nov2015,WJCT,40251,33383,56649,0.846662195,0.000198753,0.0048446
Nov,2015,Nov2015,WNKU,38890,13947,64548,0.119362304,2.57E-05,0.505631268
Nov,2015,Nov2015,WQED Multimedia,37687,23216,96245,0.082044206,0.101122403,0
Nov,2015,Nov2015,WNCW,35615,16220,72761,0.054611821,0.622715148,0.388487997
Nov,2015,Nov2015,WUIS,35603,25620,67131,0.791731034,0.051877651,0.078476533
Nov,2015,Nov2015,WKMS,35548,27782,65881,0.811634972,0.0031788,0.041830764
Nov,2015,Nov2015,WHRV FM,33618,11836,44127,0,0,0
Nov,2015,Nov2015,KLCC,31212,18976,53148,0.480392157,0.000865052,0.039984621
Nov,2015,Nov2015,KGOU,30963,22703,55703,0.643929852,0.111003456,0.114362303
Nov,2015,Nov2015,KUNM,30638,17097,65369,0.357529865,0.106338534,0.240746785
Nov,2015,Nov2015,KOSU,30183,21030,49594,0.58397111,0.011960375,0.195573667
Nov,2015,Nov2015,WYSO,29618,19397,56333,0.550408535,3.38E-05,0.167330677
Nov,2015,Nov2015,KRWG,29419,21382,47951,0.739997961,6.80E-05,0.040382066
Nov,2015,Nov2015,WDAV Classical Public Radio,28988,15427,51704,0.148130261,0.002173313,0.00034497
Nov,2015,Nov2015,northern public radio,27334,17060,47766,0.530401698,0.000146338,0.257627863
Nov,2015,Nov2015,Mississippi Public Broadcasting,27003,17004,57671,0.215124245,0.107913935,0.003740325
Nov,2015,Nov2015,KWGS,25509,13458,53793,0.461758595,0.033086362,0.261985966
Nov,2015,Nov2015,WCLK,24970,10917,52866,0.146776131,4.00E-05,0.479535443
Nov,2015,Nov2015,WCQS,24592,11770,45121,0.289891021,0.013744307,0.339256669
Nov,2015,Nov2015,WFSU,24522,20424,37830,0.824810374,4.08E-05,0.054073893
Nov,2015,Nov2015,South Carolina ETV Radio,23417,11989,50795,0.230516292,0.000512448,0.332279968
Nov,2015,Nov2015,KDLG,22794,13695,47813,0.727866983,0.000219356,0.008511012
Nov,2015,Nov2015,KUAR,22738,14452,41345,0.57947049,0.02264931,0.194388249
Nov,2015,Nov2015,KNAU,22506,12037,41459,0.385674931,0.056562694,0.258153381
Nov,2015,Nov2015,Hawaii Public Radio,22173,17005,40964,0.79556217,0.0001353,0.064853651
Nov,2015,Nov2015,KUVO,21699,10850,40451,0.170376515,0.001382552,0.395594267
Nov,2015,Nov2015,KAZU,21494,9690,38171,0.244626407,0.255280543,0.390388015
Nov,2015,Nov2015,KVPR,21370,15724,31008,0.646794572,0.059288723,0.155825924
Nov,2015,Nov2015,WBHM 90.3 Birmingham,21332,14899,34752,0.078848678,0.018235515,0.17527658
Nov,2015,Nov2015,Interlochen Public Radio,20546,12872,37247,0.470067166,0.163730166,0.212985496
Nov,2015,Nov2015,WGLT,20041,10535,45458,0.402574722,0.00174642,0.280524924
Nov,2015,Nov2015,KUNR Reno Public Radio,19816,12424,37072,0.467400081,0.000151393,0.234103755
Nov,2015,Nov2015,88.9 KETR,19564,14659,35141,0.737988141,0.000102229,0.047894091
