monthyr,name,session,users,pageviews,streaming event
Nov2014,minnesota public radio,2969149,1786886,5935556,0
Nov2014,WBUR,2878745,2022632,4667161,0
Nov2014,KQED,2253161,1556296,3728179,0.082928384
Nov2014,Southern California Public Radio,1180773,868442,2365820,0
Nov2014,WAMU 88.5,805711,412674,1388338,0
Nov2014,WHYY,792765,551223,1093410,0
Nov2014,Oregon Public Broadcasting,638104,409527,1278391,0
Nov2014,KPBS,610470,452749,1012426,0
Nov2014,Chicago Public Media,513337,329041,2006675,0
Nov2014,Public Media for North Texas,400236,277848,707168,0.001783947
Nov2014,KEXP,351864,168918,686088,8.53E-06
Nov2014,Colorado Public Radio,350338,189996,682804,0
Nov2014,Vermont Public Radio,295967,160819,573319,0.017846584
Nov2014,KUOW,289171,201093,504114,0.112314167
Nov2014,Michigan Radio,274823,182589,464119,0.156409762
Nov2014,St. Louis Public Radio,273838,201860,462863,0.044760041
Nov2014,WXPN,251203,183466,695934,8.76E-05
Nov2014,WFUV,247053,101487,516194,0
Nov2014,North Carolina Public Radio - WUNC,246437,184756,393177,0.128215325
Nov2014,KUT,226254,157428,358686,0.130932492
Nov2014,Capital Public Radio,203294,119965,342716,0
Nov2014,Indiana Public Media / WFIU,190237,162530,267625,5.26E-06
Nov2014,ideastream,184456,111898,296883,0
Nov2014,KCUR,182807,140796,310229,0.072179949
Nov2014,Louisville Public Media,171790,106246,276399,0.135409512
Nov2014,KPLU,169536,114238,272688,0.089585693
Nov2014,Nashville Public Radio,168140,131365,240159,0
Nov2014,NHPR,167400,108668,340727,0.124892473
Nov2014,WGBH,157978,124599,265627,0.041803289
Nov2014,WLRN,153101,118484,260064,0.11250743
Nov2014,Maine Public Broadcasting Network (MPBN),152611,91395,305072,0.011578458
Nov2014,Houston Public Media,148329,88035,257835,0.208907227
Nov2014,WAMC Northeast Public Radio,140994,90095,270050,0.209008894
Nov2014,NET Radio,128045,99395,235574,9.37E-05
Nov2014,WABE,122313,81383,225835,0.146681056
Nov2014,KUSC,118538,47790,191133,0
Nov2014,WBGO,118472,49159,305218,0
Nov2014,WNPR,118290,82962,219209,0.11951137
Nov2014,KUAZ-AM/FM,99803,64569,227531,0.080318227
Nov2014,WKSU,98080,60448,184280,0
Nov2014,KUNC,94542,64935,167160,0.177994965
Nov2014,KSTX,93344,64840,158029,0.155114415
Nov2014,WFAE,91863,60528,169076,0.16527873
Nov2014,WUWM 89.7 FM - Milwaukee Public Radio,90622,62824,171330,0.121857827
Nov2014,West Virginia Public Broadcasting,90217,66722,163858,0.0163273
Nov2014,witf,89001,64349,170319,0
Nov2014,South Dakota Public Broadcasting,88465,57629,247480,0.010128299
Nov2014,Iowa Public Radio,88252,55627,164299,0.196879391
Nov2014,Capital Community Broadcasting,84936,51345,147241,0
Nov2014,Rhode Island Public Radio,77939,50203,142323,0.062471933
Nov2014,WYPR Your Public Radio,73429,46209,127295,0.167753885
Nov2014,KUER,72484,38783,127177,0.181433144
Nov2014,Nevada Public Radio,68040,48223,124826,0.010523222
Nov2014,WRTI,67410,30196,154058,0.45117935
Nov2014,WESA,67394,47862,117364,0.13949313
Nov2014,KWSU,67226,45856,119298,0.195251837
Nov2014,KALW,66930,48658,122724,0.119886449
Nov2014,Jefferson Public Radio,66617,36375,127418,0.178948316
Nov2014,Wyoming Public Media,65557,44796,114173,0.161889653
Nov2014,MTPR,64408,43009,117573,0.182772326
Nov2014,Boise State Public Radio,60567,44178,109915,0.122657553
Nov2014,Cincinnati Public Radio,57718,40725,98778,0.094771129
Nov2014,WFYI,57502,32069,126233,0.000417377
Nov2014,WVTF & RADIO IQ,56085,38708,94204,0.186930552
Nov2014,89.9 WWNO New Orleans Public Radio,52510,30599,97387,0.210283755
Nov2014,KWGS,52061,33957,80021,0.135072319
Nov2014,WUSF Public Media,51844,39577,96145,0.004995757
Nov2014,Illinois Public Media,51629,22196,96035,0
Nov2014,WRVO Public Media,49947,29678,93262,0.233247242
Nov2014,WNCW,47403,24124,93390,0.229310381
Nov2014,WXXI Public Broadcasting,46797,34783,80187,0.072226852
Nov2014,KBIA,45404,36531,71946,0.066954453
Nov2014,WMHT,45340,30656,87640,0
Nov2014,New England Public Radio,43773,27903,74608,0
Nov2014,WKAR,42552,28541,76511,0.055414552
Nov2014,WQED Multimedia,42086,26762,114626,2.38E-05
Nov2014,KLCC,41952,26951,76065,0.207332189
Nov2014,WBHM 90.3 Birmingham,39865,38749,42760,0
Nov2014,WUFT-FM,37073,26866,57635,0
Nov2014,WGCU,36707,24105,66779,0.112131201
Nov2014,KMUW,36498,24149,66772,0.087950025
Nov2014,KGOU,35752,27949,63784,0.089561423
Nov2014,WJCT,35247,29533,56663,0.051011434
Nov2014,KUNM,35123,24091,63229,0.166813769
Nov2014,WBFO,34306,28750,59453,0.020375445
Nov2014,WHRV FM,34240,13585,45905,0
Nov2014,WNKU,34062,18634,59418,0.357025424
Nov2014,WFSU,33856,27420,55862,0.053963847
Nov2014,WUIS,33366,24981,55388,0.083677996
Nov2014,WPSU,32921,23425,68727,0.065216731
Nov2014,WDAV Classical Public Radio,32656,16748,57315,0
Nov2014,northern public radio,31910,20627,56807,0.273143215
Nov2014,WFDD,31660,21914,60034,0.225773847
Nov2014,KNAU,31155,21974,47107,0.206419515
Nov2014,KUVO,31045,18031,60582,0.357770978
Nov2014,KRCC,30903,20117,50987,0.135488464
Nov2014,WSHU,30636,17719,54821,0.369728424
Nov2014,WMFE,29525,13364,56468,0.225707028
Nov2014,Interlochen Public Radio,29289,20138,50513,0.141623135
Nov2014,KRWG,29060,21022,47553,0.050309704
Nov2014,WYSO,27647,19032,53931,0.212536622
Nov2014,KCBX,27398,19422,45171,0.15628878
Nov2014,WCQS,26944,16776,43149,0.310866983
Nov2014,WEMU 89.1,26814,19833,47819,0.135190572
Nov2014,WMRA,26359,18147,36246,0.17830722
Nov2014,WCBE,25492,19061,46526,0.131413777
Nov2014,Hawaii Public Radio,25301,20391,37669,0.028496897
Nov2014,WKMS,25148,18765,51197,0.056982663
Nov2014,WCLK,24568,14107,43477,0.399503419
Nov2014,WGLT,24102,14803,42001,0
Nov2014,KVPR,24014,17966,38114,0.146622803
Nov2014,WUKY,23017,16524,37638,0.156970935
Nov2014,NPR Berlin,22940,17806,34161,0.097558849
Nov2014,WSKG Public Media,22626,14716,45747,0.001325908
Nov2014,WUOT,22496,14028,39801,0.252222617
Nov2014,Ozarks Public Radio,22489,16881,40542,0.126728623
Nov2014,WBAA,21964,16754,34044,0.099845201
Nov2014,Alabama Public Radio,21960,17598,34819,0.107741348
Nov2014,KANW,21452,14566,33807,0.281931755
Nov2014,KDLG,21326,13398,44364,0.023492451
Nov2014,WVIA,20766,13794,44011,0
Nov2014,WUWF,20219,14925,31576,0.132499134
Nov2014,KRVS,20207,14175,33449,0.22709952
Nov2014,KUAR,20114,15077,32653,0.155215273
Nov2014,WDIY,19958,15313,27770,0.065287103
Nov2014,WTEB,18958,15390,28242,0.102700707
Nov2014,WCBU peoria public radio,18734,14818,29449,0.05546066
Nov2014,WEKU,18460,13199,27689,0.165547129
Nov2014,WNMU,18319,14119,31500,0.033517113
Nov2014,KVNF,18277,13471,32680,0.143349565
Nov2014,KIOS,18079,11326,29170,0.338514298
Nov2014,88.9 KETR,17967,13901,31777,0.078978127
Nov2014,WAER Syracuse Public Media,17124,13550,30673,0.123510862
Nov2014,KTEP,16986,14224,24179,0.069704462
Nov2014,Delmarva Public Radio,16396,13335,24553,0.070687973
Nov2014,KOSU,16373,10814,26435,0.282660478
Nov2014,WHQR,16165,10153,32372,0.258335911
Nov2014,WKNO,16128,11610,23021,0.200272817
Nov2014,WUTC,16051,12072,23457,0.166407077
Nov2014,White Pine Community Broadcasting,16014,12828,27619,0.072186837
Nov2014,WGTE Public Media,15747,10432,38168,0
Nov2014,South Carolina ETV Radio,15641,9290,36768,0.377341602
Nov2014,KPCW 91.9FM,15508,10704,29905,0.199187516
Nov2014,Red River Radio KDAQ,14978,11450,24784,0.135865937
Nov2014,88.1 WVPE,14974,10153,24629,0.270468813
Nov2014,Utah Public Radio,14914,11767,27195,0.068459166
Nov2014,Tri States Public Radio,14538,11158,26960,0.047599395
Nov2014,KASU,14453,12481,18534,0.063585415
Nov2014,WQCS FM,14078,10195,20561,0.190225884
Nov2014,KAZU,13889,7224,25853,0.176974584
Nov2014,PECONIC PUBLIC BROADCASTING,13621,10715,22530,0.123706042
Nov2014,KNBA KBC,13420,10543,18751,0.114083458
Nov2014,WMUK,13090,9648,25083,0.142245989
Nov2014,KTTZ,12858,10404,19947,0.025976046
Nov2014,KSUT Four Corners,12710,7816,18566,0.307710464
Nov2014,KUNR Reno Public Radio,12571,8034,23049,0.258611089
Nov2014,KUAF 91.3 FM Fayetteville,12310,7368,23166,0.241429732
Nov2014,WYSU,11961,8812,16706,0
Nov2014,WRKF,11806,6848,22177,0.326698289
Nov2014,WMOT,11730,10002,16416,0.052514919
Nov2014,WKU Public Radio,11702,8655,21175,0.148436165
Nov2014,KPBX,11639,6137,27623,0.302345562
Nov2014,WVAS,11599,10185,15153,0.052159669
Nov2014,WMKY,11422,9936,16587,0.032656277
Nov2014,KAJX,11317,8468,19733,0.11946629
Nov2014,WESM,11284,9650,14909,0.048741581
Nov2014,KAWC,10578,9020,13742,0.052845528
Nov2014,KENW,10256,8740,15987,0.001462559
Nov2014,KRCU,9738,8508,15315,0.044773054
Nov2014,KUSP,8997,5335,15439,0.005112815
Nov2014,NIPR Northeast Indiana Public Radio,8871,5388,18149,0.274602638
Nov2014,WFIT,8753,5659,20165,0.28264595
Nov2014,High Plains Public Radio,8719,6030,15830,0.200825783
Nov2014,KSJD,8700,6962,11409,0.049310345
Nov2014,KWBU,8292,7035,13548,0.027134588
Nov2014,WPRL,8096,7169,10156,0.054718379
Nov2014,WCSU,8010,6928,11109,0.029588015
Nov2014,WUCF-FM,7985,5683,12437,0
Nov2014,WSIU Public Braodcasting,7544,6018,14630,0.016702015
Nov2014,KCCU,7492,6495,9530,0.054991991
Nov2014,KACU,7315,6123,8855,0.10252905
Nov2014,WNTI,7189,3639,17504,0.367923216
Nov2014,WJSU,7072,6334,8111,0.020644796
Nov2014,KWIT,6618,5649,9607,0.070414022
Nov2014,KBBI,6164,4595,12577,0
Nov2014,WVIK,6083,4378,14086,0.160775933
Nov2014,Digital Services,6052,4743,12302,0.013218771
Nov2014,KSFR,5378,3220,12136,0.288583116
Nov2014,WMNF Tampa,5314,3046,6841,0
Nov2014,Northstate Public Radio,5176,3010,10024,0.359157651
Nov2014,Georgia Public Broadcasting,5098,3603,12014,0
Nov2014,KRCB,4887,3740,10126,0.076324944
Nov2014,KUAC,4287,3415,8105,0.031490553
Nov2014,KCND,3568,2838,5551,0.008127803
Nov2014,North Country Public Radio,1496,1402,1725,0.000668449
Nov2014,WNIN,1243,1021,2142,0.023330652
Nov2014,PRNDI - NON STATION,931,725,2191,0
Nov2014,WAPS,808,727,1399,0
Nov2014,WYEP,718,602,1190,0
Nov2014,KAMU,616,526,1365,0.198051948
Nov2014,Mississippi Public Broadcasting,529,455,713,0
Nov2014,WGVU,506,441,1071,0
Nov2014,WDET,402,349,999,0
Nov2014,WTMD,299,251,491,0
Nov2014,WOUB,92,66,315,0
Nov2014,88Nine RadioMilwaukee,83,80,113,0
Nov2014,WICN,65,63,134,0
Nov2014,KDFC,35,34,40,0
Nov2014,WIAA,11,1,482,1
Nov2014,89.9 WWNO ‰ÛÓ New Orleans Public Radio,9,1,9,1
Nov2014,90.3 Birmingham,7,2,14,0
Nov2014,KNBA/KBC,7,3,7,0
Nov2014,WXYZ,6,6,24,0
Nov2014,WYPR -Your Public Radio,6,6,8,0
Nov2014,Classical KING FM,5,5,5,0
Nov2014,KMFA,3,3,5,0
Nov2014,KXCI,1,1,1,0
Nov2014,Wisconsin Public Radio,1,1,1,0
